Party,Party Group
IUML,UDF
AIFB,UDF
KC,UDF
KDP,UDF
INC,UDF
RSP,UDF
KC(Jacob),UDF
CMPCC(CPJ),UDF
KPA,UDF
RLDP,OTHERS
RPI,OTHERS
KJ(Secular,OTHERS
BSP,OTHERS
MLPIRF,OTHERS
KJ,OTHERS
AAP,OTHERS
RMPI,OTHERS
IJDP,OTHERS
JD(U),OTHERS
DMK,OTHERS
PNP,OTHERS
PDP,OTHERS
EPI,OTHERS
AISMK,OTHERS
SP,OTHERS
DHMP,OTHERS
BJS,OTHERS
CPI(ML),OTHERS
NLP,OTHERS
HNP,OTHERS
WPI,OTHERS
SIP,OTHERS
IND,OTHERS
ADHRMPI,OTHERS
T20,OTHERS
AITC,OTHERS
DSJP,OTHERS
KRSP(LM),OTHERS
AIADMK,OTHERS
SRP,OTHERS
BNJD,OTHERS
NSC,OTHERS
NCPSCP,LDF
SJP,OTHERS
RLSP,OTHERS
BJKP,OTHERS
RPI(A),OTHERS
SDPI,OTHERS
ICF,OTHERS
ILP(AF),OTHERS
MCPI(U),OTHERS
SP(I),OTHERS
SNDP,OTHERS
BDJS,NDA
BJP,NDA
SS,NDA
NPP,NDA
LJP,NDA
CPI(M),LDF
JD(S),LDF
CON(S),LDF
KC(B),LDF
KC(ST),LDF
CPI,LDF
NCP,LDF
KC(M),LDF
INL,LDF
RJD,LDF
JKC,LDF
